uid,title,the content,writer,Published at,score,comments_quantity
40998079,,"This sounds awesome for future VR gear, when you need small displays with more pixels that is currently possible.<p>4K virtual monitors, here we come!",nomdep,1721324939,,
40997933,,"&gt; 6,800 pixel-per-inch display (around 1.1 cm by 0.55 cm, and around 3K by 1.5K pixels)<p>That sounds like it&#x27;s getting close to being a really good screen for a VR headset.",nfriedly,1721324007,,
40997982,,"Hm, thinking about this further, this would need dithering to work properly (which probably works fine, but the perceived quality difference would mean pixel density comparisons aren&#x27;t apples-to-apples)<p>Presumably, you get to control hue and brightness per-pixel. But that only gives you access to a thin slice of the sRGB gamut (i.e. the parts of HSL where saturation are maxed out), but dithering can solve that. Coming up with ideal dithering algorithms could be non-trivial (e.g. maybe you&#x27;d want temporal stability).",Retr0id,1721324377,,
40997932,,"My ultimate hope is that this will allow us to store and display color data as Fourier series.<p>Right now we only represent colour as combinations of red, green, and blue, when a colour signal itself is really a combination of multiple &quot;spectral&quot; (pure) colour waves, which can be anything in the rainbow.<p>Individually controllable microLEDs would change this entirely. We could visualize any color at will by combining them.<p>It&#x27;s depressing that nowadays we have this technology yet video compression means I haven&#x27;t seen a smooth gradient in a movie or TV show in years.",jjmarr,1721324003,,
40997986,,Are they able to adjust the color and brightness simultaneously? Or would brightness be controlled with PWM?,hobscoop,1721324390,,
40997603,,"This vaguely reminds me of &quot;CCSTN&quot; (Color Coded Super Twisted Nematic) LCD displays, which were used in a few Casio calculators to produce basic colour output without the usual RGB colour filter approach.<p><a href=""https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=quB60FmzHKQ"" rel=""nofollow"">https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=quB60FmzHKQ</a><p><a href=""https:&#x2F;&#x2F;web.archive.org&#x2F;web&#x2F;20240302185148&#x2F;https:&#x2F;&#x2F;www.zephray.me&#x2F;post&#x2F;cfx_9850_review&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;web.archive.org&#x2F;web&#x2F;20240302185148&#x2F;https:&#x2F;&#x2F;www.zephr...</a>",Retr0id,1721322214,,
40997899,,Does this need very accurate DAC to cover the entire color spectrum? Maybe even fine-tuning on each pixel?,k7sune,1721323780,,
40997677,,"Incredible accomplishment, but the question remains what this will look like at the scale of a display on any given consumer device.<p>Of course, it&#x27;s only just now been announced, but I&#x27;d love to see what a larger scale graphic looks like with a larger array of these to understand if perceived quality is equal or better, if brightness distribution across the spectrum is consistently achieved, how pixels behave with high frame rates and how resilient they are to potential burn-in.",hidelooktropic,1721322600,,
40997377,,"OLED tech has been very transformative for lots of my old gear (synthesizers and samplers mostly) that originally came with backlit LCD displays.  But the OLEDs are offered in static colors, usually blue or amber.  Sometimes white red or green<p>It would be very cool to have a display with adjustable color.",Teknomancer,1721320898,,
40997618,,"This is super cool!<p>I can certainly see these being useful in informational displays, such as rendering colored terminal output. The lack of subpixels should make for crisp text and bright colors.<p>I don&#x27;t see this taking over the general purpose display industry, however, as it looks like the current design is incapable of making white.",itishappy,1721322287,,
40997815,,I imagine color consistency will be such a pain here.,maxrumpf,1721323301,,
40997394,,"These still produce a single [adjustable] wavelength, which means some colors that are displayable on displays of today are not representable using just one of these, and multiples will be required.",dmitrygr,1721320985,,
40997380,,Any idea if there is a plan to produce discrete LEDs that are tunable?,01100011,1721320910,,
40997690,,I hope this will go into AVP3,p1esk,1721322683,,
40996125,,"A lot of awesome predictions that ended up being true: software trials, app store (he calls it the radio station for software), computers getting smaller and smaller, internet, 13&#x2F;14 year olds creating businesses with apps, computers getting cheaper to under $1000.",nkotov,1721314332,,
40996138,,"Page isn’t loading for me. Here’s a YouTube video (audio only) with the same description that I assume is the same content.<p><a href=""https:&#x2F;&#x2F;youtu.be&#x2F;2rqwi63Q1Gs?si=W7TZqVLCAj55mHkw"" rel=""nofollow"">https:&#x2F;&#x2F;youtu.be&#x2F;2rqwi63Q1Gs?si=W7TZqVLCAj55mHkw</a>",dagmx,1721314440,,
40995828,,"SJ was a true visionary. He had a philosophical and deep look at the computer revolution, and he was one of the few leaders who actually cared about building products he could recommend to his own friends and family.",behnamoh,1721312579,,
40996270,,"&gt; and points to the possibility that one day we might be able, in any given situation, to ask a computer, “What would Aristotle have said?”—and get an answer.<p>Steve Jobs predicts ChatGPT. Off by 40 years, but nobody&#x27;s perfect.",indigoabstract,1721315204,,
40997368,,I think that picture of Jobs in a room with a Tiffany lamp and his stereo is interesting. I don&#x27;t like the lamp and that doesn&#x27;t look like a room in which I would want to spend much time.<p>But it does make me think about my space and my stuff.<p>What are the objects you own that feel extraordinarily well designed? Jobs&#x27; lamp is likely still plugged in someplace. Will your favorite objects still be admired 40 years from now?,criddell,1721320858,,
40996108,,Anyone know more about Steve’s hifi setup in the famous “sitting on the floor with a lamp” photo?,fiatpandas,1721314230,,
40995818,,Imagine spending 2-3 hours per day interacting with computers.,mseepgood,1721312488,,
40997255,,"The great communicator.<p>Was he speaking like this right from birth, a little baby, pacing around, pointing at his pacifier, saying &#x27;this is crap, who designed this, make it a big soft breast, follow nature, curves&#x27;.",FrustratedMonky,1721320195,,
40997633,,"I assume most HNers have seen this, but if you haven&#x27;t seen The Mother Of All Demos, you owe it to  yourself to see what was possible in 1968 but wouldn&#x27;t be taken seriously for another 15-30 years. [0]<p>[0]: <a href=""https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=yJDv-zdhzMY"" rel=""nofollow"">https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=yJDv-zdhzMY</a>",kolanos,1721322344,,
40997295,,"&gt; I find it breathtaking how profound his understanding was of the dramatic changes that were about to happen as the computer became broadly accessible. Of course, beyond just being prophetic...<p>The author of this article should consider not reading any more about the history of computing for health reasons.<p>If that takes their breath away, they&#x27;re at serious risk of going into cardiac arrest if they keep going and discover some of the many other fascinating figures from the 50s, 60s, 70s and 80s who were enjoying speculating about the direction things would go in.",sourcepluck,1721320399,,
40996215,,[flagged],eql5,1721314862,,
40995956,,"Do you see how Elon Musk behaves in real time? That was Steve Jobs in his day, but we didn&#x27;t have social media, so we didn&#x27;t get to see his tantrums. Both Jobs and Musk were known for thinking very little of people outside their personal circles. It just shows that human beings are innately attracted to mythology and love to romanticize authoritative figures, even when those figures display sociopathic tendencies. Maybe that&#x27;s why polls say people think less and less of democracy and more and more of autocracy all over the world. We can say these people are changing the world but we should not forget that they are not role models.",retskrad,1721313285,,
