uid,title,the content,writer,Published at,score,comments_quantity
41021716,,"<a href=""https:&#x2F;&#x2F;threadreaderapp.com&#x2F;thread&#x2F;1814343502886477857.html"" rel=""nofollow"">https:&#x2F;&#x2F;threadreaderapp.com&#x2F;thread&#x2F;1814343502886477857.html</a>",js2,1721526011,,
41021738,,"<a href=""https:&#x2F;&#x2F;twitter-thread.com&#x2F;t&#x2F;1814343502886477857"" rel=""nofollow"">https:&#x2F;&#x2F;twitter-thread.com&#x2F;t&#x2F;1814343502886477857</a>",MBCook,1721526376,,
41022966,,"The moment I read &#x27;it is a <i>content update</i> that causes the BSOD, deleting it solves the problem&#x27;, I was immediately willing to bet a hundred quid (for the non-British, that&#x27;s £100) that it was a combination of said bad binary data and a poorly-written parser that didn&#x27;t error out correctly upon reading invalid data (in this case, read an array of pointers, didn&#x27;t verify that all of them were both non-null and pointed to valid data&#x2F;code).<p>In the past ten years or so of having done somewhat serious computing and zero cybersecurity whatsoever, I have my mind concluded, feel free to disagree.<p>Approximately <i>100%</i> of CVEs, crashes, bugs, slowdowns, and pain points of computing have to do with various forms of deserialising binary data back into machine-readable data structures. All because a) human programmers forget to account for edge cases, and b) imperative programming languages allow us to do so.<p>This includes everything from: decompression algorithms; font outline readers; image, video, and audio parsers; video game data parsers; XML and HTML parsers; the various certificate&#x2F;signature&#x2F;key parsers in OpenSSL (and derivatives); and now, this CrowdStrike content parser in its EDR program.<p>That wager stands, by the way, and I&#x27;m happy to up the ante by £50 to account for my second theory.",delta_p_delta_x,1721543911,,
41023440,,"I see a paradox that the null bytes are &quot;not related&quot; to the current situation and yet deleting the file seems to cure the issue. Perhaps the CS official statement that &quot;This is not related to null bytes contained within Channel File 291 or any other Channel File.&quot; is poorly worded.<p>My opinion is that CS is trying to say the null bytes themselves aren&#x27;t the actual root cause of the issue, but merely a trigger for the actual root cause, which is that CSAgent.sys has a problem where malformed input vectors can cause it to crash. Well designed programs should error out gracefully for foreseeable errors, like corrupted config files.<p>If we interpret that quoted sentence such that &quot;this&quot; is referring to &quot;the logical error&quot;, and that &quot;the logical error&quot; is the error in CSAgent.sys that causes it to crash upon reading a bad channel file, then that statement makes sense.<p>This is a bit of a stretch, but so far my impression with CS corporate communication regarding this issue has been nothing but abject chaos, so this is totally on-brand for them.",hatsunearu,1721550399,,
41022728,,By-passing the discussion whether one actually needs root kit powered endpoint surveillance software such as CS perhaps an open-source solution would be a killer to move this whole sector to more ethical standards. So the main tool would be open source and it would be transparent what it does exactly and that it is free of backdoors or really bad bugs. It could be audited by the public. On the other hand it could still be a business model to supply malware signatures as a security team feeding this system.,G3rn0ti,1721541040,,
41021903,,"But how come they didn&#x27;t catch it in the testing deployments? what was the difference that caused it to happen when they deployed to the outside world. I find it hard to believe that they didn&#x27;t test it before deployment. I also think companies should all have a testing environment before deploying 3rd party components. I mean, we all install some packages during development that fails or cause some problems but nobody think it is a good idea to do it directly in their production environment before testing, so how is this different?",golemiprague,1721528632,,
41023055,,Do these customers of crowd strike even have a say in these updates going out or do they all just bend over and let crowd strike have full RCE on every machine in their enterprise.<p>I sure hope the certificate authorities and other crypto folks get to keep that stuff off their systems at least.,hannasm,1721544839,,
41023475,,"This is a pretty brief &#x27;analysis&#x27;. The poster traces back one stack frame in assembler, it basically amounts to just reading out a stack dump from gdb. It&#x27;s a good starting point I guess.",throwyhrowghjj,1721551036,,
41023337,,"I am genuinely curious what their CI process that passed this looks like, as well as if they&#x27;re doing any sort of dogfooding or manual QA? Are changes just CI&#x2F;CD&#x27;d out to production right away?",donatj,1721548671,,
41022250,,"A &#x27;channel file&#x27; is a file interpreted by their signature detection system. How far is this from a bytecode compiled domain specific language? Javascript anyone?<p>eBPF, much the same thing, is actually thought about and well designed. If it wasn&#x27;t it would be easy to crash linux.<p>This is what they do and they are doing badly. I bet it&#x27;s just shit on shit under the hood, developed by somewhat competent engineers, all gone or promoted to management.",mianos,1721534062,,
41022213,,"It&#x27;s really difficult to evaluate the risk the CrowdStrike system imposed. Was this a confluence of improbable events or an inevitable disaster waiting to happen?<p>Some still-open questions in my mind:<p>- was the broken rule in the config file (C-00000291-...32.sys) human authored and reviewed or machine-generated?<p>- was the config file syntactically or semantically invalid according to its spec?<p>- what is the intended failure mode of the kernel driver that encounters an invalid config (presumably it&#x27;s not &quot;go into a boot loop&quot;)?<p>- what automated testing was done on both the file going out and the kernel driver code? Where would we have expected to catch this bug?<p>- what release strategy, if any, was in place to limit the blast radius of a bug? Was there a bug in the release gates or were there simply no release gates?<p>Given what we know so far, it seems much more likely that this was a &quot;disaster waiting to happen&quot; but I still think there&#x27;s a lot more to know. I look forward to the public post-mortem.",nickm12,1721533410,,
41023113,,How feasible would it be to implement blue green deployments in that kind of system?,mkl95,1721545632,,
41023108,,"&#x27;Analysis&#x27; of the null pointer  is completely missing the point. The simple fact of the matter is they didnt do anywhere near enough testing before pushing the files out. Auto update comes with big responsibility, this was criminally reckless",codeulike,1721545580,,
41023156,,And then some people think memory safety doesn&#x27;t matter.,GTP,1721546282,,
41023330,,So was the totally empty channel file just a red herring?,hatsunearu,1721548604,,
41021857,,"Out of curiosity: In the old days, SoftIce could have been used which was a kernel mode debugger. What tool can be used these days?",canistel,1721527976,,
41023448,,I don&#x27;t do windows either.,peter_retief,1721550532,,
41022099,,How did it pass CI?,brcmthrowaway,1721531703,,
41023416,,"The girl on the supermarket checkout said she hoped her computer wouldn&#x27;t be affected. I knowingly laughed and said &quot;you probably don&#x27;t have on your own computer unless your a bank&quot;.<p>She said, &quot;I installed it before for my cybersecurity course but I think it was just a trial&quot;<p>Assumptions eh.",webprofusion,1721549869,,
41022809,,"Crowdstrike isn’t a company anymore, this is probably their end. The litigation will be death by thousand cuts.",iwontberude,1721542082,,
41023070,,Hasn’t this been debunked?,JSDevOps,1721545114,,
41022031,,Where is a good place and way to start practicing disassembly in 2024?,Anonymityisdead,1721530443,,
41022435,,Really the underlying problem here is that their software is loading external data into their kernel driver and not correctly sanitising their inputs,Taniwha,1721537082,,
41021626,,So is unmapped address another way of saying null pointer?,blirio,1721524920,,
41022840,,Maybe one day people will learn what a blog is.,system2,1721542398,,
41022708,,"I found windows confusing. In Linux speak, was this some kind of kernel module thing that CS installed? It’s all I can think of for why the machines BSOD",anothername12,1721540709,,
41021977,,"How sure are we, that this was not a cyberattack?<p>It seems really scary to me, that crowdstrike is able to push updates in real time to most of their customers systems. I don&#x27;t know of any other system, that would provide a similar method to inject code at kernel level. Not even windows updates, as they always roll out with some delay and not to all computers at the same time<p>If you want to attack high profile systems, crowdstrike would be one of the best possible targets.",andix,1721529515,,
41021776,,"The scarier thought I&#x27;ve had -- if a black hat had discovered this crash case, could it have been turned into a widely deployed code execution vulnerability?",Fr0styMatt88,1721526920,,
41021654,,"Meta Conversation: The fact that X has a &quot;Show Probable Spam&quot; and both of the responses were pretty valid, with one even getting a reply from the creator.<p>I just don&#x27;t understand how they still have users.",qmarchi,1721525354,,
41022071,,Ended up being forced because it was a &quot;content update&quot;.  This is the update of our discontent!,m0llusk,1721531259,,
41023485,,"Seems Just like the letter -y at the end of a or Spanish (or English?) word is a glorified i, to make it more legible<p>Ley, rey, etc.",create-account,1721551164,,
41023283,,Looks like vim when I forget to map jk to escape.,nojs,1721548046,,
41023254,,,,1721547704,,
41023294,,Now I wonder why pharmacists used roman numerals,kzrdude,1721548127,,
41023327,,"&gt; A j was used for the final i, to make it clear the number had ended.<p>Yeah I imagined this was the case. Same as other common ways to avoid misunderstanding (and possible forgeries)",raverbashing,1721548544,,
41021236,,"Coincidentally, I just toured the South Dakota minuteman launch control facility this week [1] and it was fascinating.  The park ranger giving the tour was a veteran who manned the facility decades ago — amazing stories. You need to book tickets a few months in advance but well worth it if you’re in the area to visit Badlands, Mt. Rushmore, etc.<p>[1] Run by U.S. National Park Service: <a href=""https:&#x2F;&#x2F;www.nps.gov&#x2F;mimi&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;www.nps.gov&#x2F;mimi&#x2F;</a>",GrantS,1721519784,,
41021353,,"&gt; Various options including DSL over HICS cables and radio were considered, but the current plan is to trench new fiber-optic cables across the launch fields. They&#x27;re less interesting, but fiber optic cables have both capacity and reliability advantages over telephone cables, and could easily remain in service for the life of the Sentinel program.<p>I was actually a bit surprised there was nothing about lightning and EMP suppression. I’m no expert on EMP effects, but multiple-mile-long cable loops underground seem like the kind of thing that would develop large induced currents in the presence of a varying magnetic field.<p>Nonconductive fiber optic cables are entirely immune to these effects.  And they’re less expensive than copper!",amluto,1721520935,,
41020687,,my dad was a pm for this stuff. i have no idea what he did as he retired by the time i was 8 (92) but this was his world.<p>anyone know anything else about this stuff? i’ve often considered trying to recreate his career path. (he died about 5 years ago.),randall,1721515340,,
41021136,,"Very good read, thanks for sharing it.
Side note: All the pictures have the geolocation data embedded into them.",tamimio,1721518938,,
41020264,,Interesting article. I have always been curious about how weapons systems like missiles communicate with command and control systems. Especially how the datalinks worked on cold war era systems. Not a lot of info out there. So this article was a good read.,nirav72,1721512028,,
41023147,,"<a href=""http:&#x2F;&#x2F;www.airtalk.com&#x2F;z_ref-4_1.html"" rel=""nofollow"">http:&#x2F;&#x2F;www.airtalk.com&#x2F;z_ref-4_1.html</a><p>For people like me that didn’t understand why the cables are pressurized.",Mistletoe,1721546168,,
41021731,,"For anyone who hasn’t seen it, the highly hn-relevant film <i>WarGames</i> kicks off with a launch order scene between a MCCC and a DMCCC that doesn’t depart wildly from the description here.<p>The rest of the film is pretty good, too!<p><i>Turn your key, sir!</i>",twoodfin,1721526306,,
41021605,,"I&#x27;m researching the Minuteman II&#x27;s computer, the Autonetics D-37B&#x2F;C so I figured I&#x27;d put a note here in case there is anyone else looking at it.",kens,1721524535,,
41021980,,Crazy that the communication system doesn&#x27;t seem to be that much more advanced than tin cans and a string when compared to modern day. Guess the same can be said for the weapons themselves.,justinator,1721529568,,
41022486,,"Strict tracking in firefox blocks the following:<p>Social media trackers, Cross-site cookies in all windows, Tracking content in all windows, Cryptominers, Known and suspected fingerprinters.<p>I wouldn&#x27;t wanna use a site that relies on any of the above to function anyway.",drooopy,1721537881,,
41022582,,"So I get strict tracking protection and I can&#x27;t open Twitter, no matter how hard I try?  I&#x27;m not sure I see the downside.",OhMeadhbh,1721539264,,
41022588,,"Hey, remember that time you didn&#x27;t obsess over a bunch of para-social relationships on a platform that monetizes your attention?<p>The only thing keeping twitter relevant is the fact that you keep opening the website&#x2F;app.",btreecat,1721539289,,
41022518,,I&#x27;d keep Firefox and ditch the other. No second thoughts at all.,emsign,1721538504,,
41023496,,"Disqus [comments] hasn&#x27;t worked with STP for months.<p>Neither Mozilla, nor Disqus itself cares.",itvision,1721551383,,
41023383,,"Unfortunately, the latest build of Firefox Focus for iOS — what ought to be Safari plus all of the good parts of Firefox’s tracker blocking — seems to now <i>allow</i> x.com to open.  I’ve also started seeing ads where they were blocked before (e.g. theguardian.com.)",gorgoiler,1721549418,,
41022476,,That&#x27;s the problem with Firefox these days: The management has been so bad that the market share tanked and now market actors can afford to block FF users who are privacy conscious without risking a big outcry.<p>A sign of things to come…,Tepix,1721537765,,
41022750,,"There is a solution, but don&#x27;t use it, use mastodon:<p>In the settings, enable Firefox containers. This allows you to seperate the cookies of X from all other sites. Also install uBlockOrigin to block all trackers on X itself.",jak2k,1721541288,,
41023442,,I refuse to open twitter while its called x and contains toxic owner.,hexo,1721550458,,
41022500,,A similar refusal is observed on Mobile Safari.,ctrust,1721538044,,
41022737,,"If anyone has a problem where Twitter does open for them on Firefox, I found the LeechBlock extension to be very useful. Took less than a week for the muscle memory of opening it to go away.",viraptor,1721541170,,
41022926,,"Just redirect to Nitter:<p><pre><code>    &#x2F;&#x2F; ==UserScript==
    &#x2F;&#x2F; @name        Redirect to Nitter
    &#x2F;&#x2F; @version     1.0
    &#x2F;&#x2F; @description Automatically redirect from twitter to nitter
    &#x2F;&#x2F; @match       *:&#x2F;&#x2F;twitter.com&#x2F;*
    &#x2F;&#x2F; @match       *:&#x2F;&#x2F;x.com&#x2F;*
    &#x2F;&#x2F; @run-at      document-start
    &#x2F;&#x2F; ==&#x2F;UserScript==

    (function() {
        const nitterInstance = &#x27;nitter.poast.org&#x27;
        location.href = `https:&#x2F;&#x2F;${nitterInstance}` + location.pathname &#x2F;&#x2F; + &#x27;&amp;&#x27; + location.search
    })();</code></pre>",b0ner_t0ner,1721543388,,
41023203,,"Everyday theres some entity I used to look to Twitter to see news about them, and then I find out they decided not to pay some multiplier of tens of thousands of dollars a month. If I can&#x27;t use Twitter on Firefox now, thats fine.",Larrikin,1721546970,,
41023324,,"Is this driving to a hand curated list of site:{permitted,...} exclusions?",ggm,1721548493,,
