uid,title,the content,writer,Published at,score,comments_quantity
41021366,Initial details about why CrowdStrike's CSAgent.sys crashed,,pilfered,1721521054,281,265
41022653,"What is the significance of the character ""j"" at the end of a Roman Numeral?",,kamaraju,1721539919,53,9
41019604,Minuteman missile communications,,sklargh,1721507586,238,34
41023086,"""Any sufficiently bad software update is indistinguishable from a cyberattack""",,peter_d_sherman,1721545309,69,11
41022408,X.com refuses to open with Firefox strict tracking protection enabled,,anticensor,1721536648,180,141
41018135,A Linux kernel syscall implementation tracker,,halb,1721496892,285,48
41016441,10% of Cubans left Cuba between 2022 and 2023,,apsec112,1721483004,349,682
40975320,Large models of what? Mistaking engineering achievements for linguistic agency,,Anon84,1721127271,135,65
41019561,Intel vs. Samsung vs. TSMC,,rbanffy,1721507377,118,21
40978894,Building a Galaksija,"I came across this as an interesting curiosity several years ago. Recently it showed up in a personal reference and I thought it might be of interest to the HN community. Really amazing story behind this and the community that was created around it is fascinating.<p>Part I (linked): <a href=""https:&#x2F;&#x2F;blog.vladovince.com&#x2F;building-a-galaksija-the-1980s-yugoslav-8-bit-microcomputer-part-i-the-tech&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;blog.vladovince.com&#x2F;building-a-galaksija-the-1980s-y...</a><p>Part II: <a href=""https:&#x2F;&#x2F;blog.vladovince.com&#x2F;building-a-galaksija-part-ii-the-origin-story&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;blog.vladovince.com&#x2F;building-a-galaksija-part-ii-the...</a><p>Part III: <a href=""https:&#x2F;&#x2F;blog.vladovince.com&#x2F;building-a-galaksija-part-iii-audio-cassettes-magazine-listings-and-radio-waves&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;blog.vladovince.com&#x2F;building-a-galaksija-part-iii-au...</a><p>Wikipedia: <a href=""https:&#x2F;&#x2F;en.wikipedia.org&#x2F;wiki&#x2F;Galaksija_(computer)"" rel=""nofollow"">https:&#x2F;&#x2F;en.wikipedia.org&#x2F;wiki&#x2F;Galaksija_(computer)</a><p>Internet Archive Magazine Collection: <a href=""https:&#x2F;&#x2F;archive.org&#x2F;search?query=galaksija"" rel=""nofollow"">https:&#x2F;&#x2F;archive.org&#x2F;search?query=galaksija</a><p>Emulator: <a href=""https:&#x2F;&#x2F;github.com&#x2F;mejs&#x2F;galaksija"">https:&#x2F;&#x2F;github.com&#x2F;mejs&#x2F;galaksija</a><p>Another: <a href=""https:&#x2F;&#x2F;github.com&#x2F;nikp123&#x2F;Galaksija-Emulator"">https:&#x2F;&#x2F;github.com&#x2F;nikp123&#x2F;Galaksija-Emulator</a><p>Libretro core: <a href=""https:&#x2F;&#x2F;github.com&#x2F;libretro&#x2F;galaxy-libretro"">https:&#x2F;&#x2F;github.com&#x2F;libretro&#x2F;galaxy-libretro</a>",bane,1721153807,28,2
